cliente         c¢digo          cantidad
       2574          J66902R9         -3000
       2574          J66902R3         -3000
       2574          H21402R0         -1500
       2574          D18100D9         -2300
       2574          C11100R3         -1000
       2574          L14102I3          -100
       2574          X90732R3         -1900
       2574          S20102R9          -400
       2574          M11300R3          -250
       2574          C12102R3         -1300
       2574          C13102R3           -25
       2574          C16100D3           -25
       2574          C16100I3           -25
       2574          C33402R9         -1000
       2574          C33402R3         -1150
       2574          J47702R3          -500
       2574          J43702R9         -2000
       2574          H22400R0          -475
       2574          H22400R0         -1500
       2574          X90732R3         -1900
       2574          J43704R9         -3500
       2574          W80133R3          -300
       2574          A42100R0           -50
       2574          D13100R3         -1000
